,beer,style,region,manufacturer,brand,fermentation,alcohol,volume,img,price,ingredients,tastes,serve_with,name
Rinkuskiai-Juodasis,"['Темное', 'Фильтрованное']",['Эль'],['Литва'],Rinkuskiai,Rinkuskiai,['Верховое брожение'],Средний,0.5,../data/images/Rinkuskiai-Juodasis.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'кофе', 'горький', 'хмель']","['мясо', 'салат', 'закуски', 'твердые сыры']",Rinkuskiai Rinkuskiai
Rinkuskiai-IPA,"['Янтарное', 'Фильтрованное']","['Эль', 'Американский Эль', 'Американский ИПА']",['Литва'],Rinkuskiai,Rinkuskiai,['Верховое брожение'],Средний,0.5,../data/images/Rinkuskiai-IPA.jpg,Средний,"['ячмень', 'хмель']","['сладкий', 'солод', 'горький', 'хмель']","['рыба', 'белое мясо', 'пицца', 'закуски', 'овощи', 'снэки']",Rinkuskiai Rinkuskiai
Iron-Maiden-Trooper-Ale,['Средне-янтарное'],"['Эль', 'Английский Эль', 'Экстра-специальный/Крепкий Биттер (ЭСБ)']",['Великобритания'],Robinsons,Iron Maiden Trooper,['Верховое брожение'],Средний,0.33,../data/images/Iron-Maiden-Trooper-Ale.jpg,Средний,"['ячмень', 'пшеница', 'хмель']","['лимон', 'солод', 'насыщенный/интенсивный', 'хмель']","['птица', 'рыба', 'закуски', 'барбекю']",Robinsons Iron Maiden Trooper
Nymburk-Postrizinske-Nezny-Barbar,"['Янтарное', 'Фильтрованное']","['Лагер', 'Немецкий Лагер', 'Венский Лагер']",['Чехия'],Nymburk,Postrizinske,['Низовое брожение'],Средний,0.5,../data/images/Nymburk-Postrizinske-Nezny-Barbar.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'цветочный', 'орехи', 'карамель', 'зерновые', 'сладковатый', 'хмель']","['жареное мясо', 'сыры', 'мясо на гриле', 'колбасные изделия']",Nymburk Postrizinske
Konix-Brewery-Blanche-Grapefruit,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Витбир', 'Бельгийский/Французский Эль']",['Россия'],Konix Brewery,Konix,['Верховое брожение'],Средний,0.5,../data/images/Konix-Brewery-Blanche-Grapefruit.jpg,Средний,"['ячмень', 'хмель', 'пшеница', 'цитрусовые']","['грейпфрут', 'горьковатый']","['аперитив', 'сыры', 'десерты', 'мидии', 'картофель']",Konix Brewery Konix
Ostrovica-B-DAY-IPA,"['Янтарное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский ИПА']","['Россия', 'Челябинск']",Ostrovica,B*DAY,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-B-DAY-IPA.jpg,Средний,"['ячмень', 'хмель']","['сочный', 'легкое', 'яркий', 'горький', 'хмель']","['мясо', 'птица', 'жареное мясо', 'гриль', 'закуски', 'стейк', 'мясо на гриле']",Ostrovica B*DAY
Ostrovica-B-DAY-Pale-Ale,"['Янтарное', 'Крафтовое']","['Эль', 'Американский Эль', 'Американский Светлый Эль']","['Россия', 'Челябинск']",Ostrovica,B*DAY,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-B-DAY-Pale-Ale.jpg,Средний,"['ячмень', 'хмель']","['свежий', 'сочный', 'легкое', 'горьковатый', 'хмель']","['мясо', 'азиатская кухня', 'стейк', 'барбекю', 'холодные закуски', 'острые/пряные блюда']",Ostrovica B*DAY
Ostrovica-Bold-Mosaic,"['Янтарное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Двойной/Имперский ИПА']","['Россия', 'Челябинск']",Ostrovica,Bold Mosaic,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Bold-Mosaic.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'травы', 'смородина', 'приятный', 'мощный', 'горький', 'хмель']","['мясо', 'птица', 'рыба', 'гриль', 'закуски', 'мясо на гриле', 'картофель', 'рыба-гриль', 'острые/пряные блюда']",Ostrovica Bold Mosaic
Ostrovica-Bold-Nelson,"['Янтарное', 'Крафтовое']","['Эль', 'Американский Эль', 'Американский Двойной/Имперский ИПА']","['Россия', 'Челябинск']",Ostrovica,Bold Nelson,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Bold-Nelson.jpg,Средний,"['ячмень', 'хмель']","['полный', 'сильный', 'горький', 'хмель']","['свинина', 'курица', 'азиатская кухня', 'мясо на гриле', 'индийская кухня', 'острые/пряные блюда']",Ostrovica Bold Nelson
Valentins-Premium-Hefeweissbier-in-can-950,"['Средне-янтарное', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']",['Германия'],Eichbaum,Valentins,['Верховое брожение'],Средний,0.95,../data/images/Valentins-Premium-Hefeweissbier-in-can-950.jpg,Дешевый,"['пшеница', 'хмель', 'ячмень']","['ягоды', 'лимон', 'травы', 'банан', 'хлеб', 'гвоздика', 'мягкий', 'сбалансированный', 'пшеничный', 'долгий/продолжительный']","['птица', 'рыба', 'салат', 'сыры', 'моллюски', 'немецкая кухня']",Eichbaum Valentins
Rising-Moon-Velvet-Saison,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Сезон/Фермерский эль']","['Россия', 'Московская область']",Rising Moon,Rising Moon,['Верховое брожение'],Средний,0.5,../data/images/Rising-Moon-Velvet-Saison.jpg,Средний,"['ячмень', 'пшеница', 'хмель']","['спелые фрукты', 'освежающий', 'горьковатый', 'хмель']","['птица', 'свинина', 'говядина', 'колбасные изделия', 'картофель']",Rising Moon Rising Moon
Atmosphere-Derzkiy-Abrikos,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Светлый Эль']","['Россия', 'Московская область']",Атмосфера,Атмосфера,['Верховое брожение'],Средний,0.5,../data/images/Atmosphere-Derzkiy-Abrikos.jpg,Дешевый,"['ячмень', 'хмель', 'фрукты']","['абрикос', 'солод', 'мягкий', 'сбалансированный', 'хмель']","['птица', 'аперитив', 'пицца', 'закуски', 'дижестив']",Атмосфера Атмосфера
Ostrovica-Concepto-DDH,"['Янтарное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Светлый Эль']","['Россия', 'Челябинск']",Ostrovica,Concepto,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Concepto-DDH.jpg,Средний,"['ячмень', 'хмель']","['ананас', 'персик', 'абрикос', 'горький', 'хмель']","['мясо', 'птица', 'азиатская кухня', 'закуски', 'жареная рыба', 'острые/пряные блюда']",Ostrovica Concepto
Ostrovica-Madwork-DIPA,"['Средне-янтарное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Двойной/Имперский ИПА']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Madwork-DIPA.jpg,Дешевый,"['ячмень', 'хмель']","['сочный', 'яркий', 'терпкий', 'горький', 'хмель']","['мясо', 'птица', 'гриль', 'закуски', 'шашлык', 'барбекю', 'колбасные изделия', 'картофель']",Ostrovica Ostrovica
Pardal-Svetle,"['Средне-янтарное', 'Фильтрованное']","['Лагер', 'Чешский Лагер', 'Чешский Пилснер']",['Чехия'],Budweiser Budvar,Pardal,['Низовое брожение'],Легкий,0.5,../data/images/Pardal-Svetle.jpg,Дешевый,"['ячмень', 'хмель']","['солод', 'насыщенный/интенсивный', 'приятный', 'горький', 'хмель']","['птица', 'рыба', 'пицца', 'закуски', 'мясо на гриле']",Budweiser Budvar Pardal
Atmosphere-Star-Lord,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Английский Эль', 'Английский Светлый Эль (ИПА)']","['Россия', 'Московская область']",Атмосфера,Атмосфера,['Верховое брожение'],Средний,0.5,../data/images/Atmosphere-Star-Lord.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'приятный', 'освежающий', 'горьковатый', 'хмель']","['мясо', 'рыба', 'курица', 'гриль', 'закуски', 'шашлык']",Атмосфера Атмосфера
Staropramen-Lezak,"['Средне-светлое', 'Фильтрованное']","['Лагер', 'Чешский Лагер', 'Чешский Пилснер']",['Чехия'],Molson Coors,Staropramen,['Низовое брожение'],Средний,0.5,../data/images/Staropramen-Lezak.jpg,Дешевый,"['ячмень', 'хмель']","['хлеб', 'солод', 'долгий/продолжительный', 'зерновые', 'горьковатый', 'хмель', 'густой']","['мясо', 'закуски', 'овощи', 'снэки']",Molson Coors Staropramen
Faxe-Premium-in-can-1000,"['Средне-светлое', 'Фильтрованное']","['Лагер', 'Европейский Лагер', 'Европейский Светлый Лагер']",['Дания'],Royal Unibrew,Faxe,['Низовое брожение'],Средний,1.0,../data/images/Faxe-Premium-in-can-1000.jpg,Дешевый,"['ячмень', 'хмель']","['тосты', 'травы', 'сухой', 'солод', 'горьковатый']","['птица', 'рыба', 'моллюски', 'снэки']",Royal Unibrew Faxe
Atmosphere-Citrus-Paradisi,"['Янтарное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Двойной/Имперский ИПА']","['Россия', 'Московская область']",Атмосфера,Атмосфера,['Верховое брожение'],Средний,0.5,../data/images/Atmosphere-Citrus-Paradisi.jpg,Средний,"['ячмень', 'хмель', 'фрукты']","['грейпфрут', 'цитрусовые', 'яркий', 'освежающий', 'долгий/продолжительный', 'хмель']","['мясо', 'птица', 'рыба', 'закуски', 'шашлык', 'острые/пряные блюда']",Атмосфера Атмосфера
Atmosphere-Black-Envy,"['Чёрное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Английский Эль', 'Английский Стаут']","['Россия', 'Московская область']",Атмосфера,Атмосфера,['Верховое брожение'],Средний,0.5,../data/images/Atmosphere-Black-Envy.jpg,Средний,"['ячмень', 'хмель', 'кофе']","['кофе', 'сливки', 'плотный', 'насыщенный/интенсивный', 'сладковатый', 'тонкий']","['аперитив', 'красное мясо', 'дижестив', 'устрицы', 'мидии', 'шоколад']",Атмосфера Атмосфера
Ostrovica-Efecto-DDH,"['Янтарное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Светлый Эль']","['Россия', 'Челябинск']",Ostrovica,Efecto,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Efecto-DDH.jpg,Дешевый,"['ячмень', 'хмель']","['освежающий', 'горьковатый', 'хмель']","['рыба', 'морепродукты/дары моря', 'азиатская кухня', 'закуски', 'мясо на гриле']",Ostrovica Efecto
Brewlok-Brewmistry-S01-E04-Tappd-Down-in-the-Hole,"['Янтарное', 'Крафтовое']","['Эль', 'Бельгийский/Французский Эль', 'Сезон/Фермерский эль']","['Россия', 'Москва']",Brewlok,Brewmistry,['Верховое брожение'],Крепкий,0.33,../data/images/Brewlok-Brewmistry-S01-E04-Tappd-Down-in-the-Hole.jpg,Средний,"['ячмень', 'хмель']","['орехи', 'чернослив', 'солод', 'хмель', 'дрожжи']","['птица', 'рыба', 'белое мясо', 'закуски', 'овощи', 'запеканка']",Brewlok Brewmistry
Kabinet-Vertigo,"['Средне-светлое', 'Крафтовое']","['Немецкий Пилснер', 'Лагер', 'Немецкий Лагер']",['Сербия'],Kabinet,Vertigo,['Низовое брожение'],Средний,0.33,../data/images/Kabinet-Vertigo.jpg,Средний,"['ячмень', 'хмель']","['цитрусовые', 'округлый', 'гармоничный', 'хмель']","['сыры', 'закуски']",Kabinet Vertigo
Ostrovica-APA,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский ИПА']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-APA.jpg,Дешевый,"['ячмень', 'хмель']","['цитрусовые', 'мягкий', 'приятный', 'гармоничный', 'долгий/продолжительный', 'горьковатый']","['аперитив', 'мясные закуски', 'колбасные изделия']",Ostrovica Ostrovica
Ostrovica-Didgeridoo-IPA,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский ИПА']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Didgeridoo-IPA.jpg,Средний,"['ячмень', 'хмель']","['яркий', 'солод', 'приятный', 'гармоничный', 'долгий/продолжительный', 'горьковатый', 'хмель']","['белое мясо', 'жареное мясо', 'закуски', 'китайская кухня', 'рыба-гриль']",Ostrovica Ostrovica
Ostrovica-Mosaic-IPA,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский ИПА']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Mosaic-IPA.jpg,Средний,"['ячмень', 'хмель']","['цитрусовые', 'черная смородина', 'манго', 'яркий', 'приятный', 'хвойный бальзам', 'горьковатый', 'изысканный/элегантный']","['белое мясо', 'жареное мясо', 'закуски', 'китайская кухня', 'рыба-гриль']",Ostrovica Ostrovica
Ostrovica-Smog-Porter,"['Чёрное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Английский Эль', 'Английский Портер']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Smog-Porter.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'дым/копченый', 'кофе', 'хмель']","['мясо', 'аперитив', 'деликатесы', 'закуски', 'дижестив', 'копчености', 'колбасные изделия']",Ostrovica Ostrovica
Ostrovica-Sorachi-Brown-Ale,"['Темное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Темный Эль']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Sorachi-Brown-Ale.jpg,Средний,"['хмель', 'ячмень']","['карамель', 'сухофрукты', 'хлеб', 'полный', 'сильный']","['птица', 'сыры', 'закуски', 'копчености', 'мясо на гриле', 'твердые сыры']",Ostrovica Ostrovica
Ostrovica-Sorachi-Saison,"['Средне-светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Сезон/Фермерский эль']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Sorachi-Saison.jpg,Дешевый,"['пшеница', 'ячмень', 'хмель']","['фруктовый', 'специи/пряности', 'солод', 'мягкий', 'освежающий']","['птица', 'рыба', 'овощи', 'запеканка', 'снэки']",Ostrovica Ostrovica
Ostrovica-Sorachi-Ace-Pale-Ale,"['Средне-светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Светлый Эль']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Sorachi-Ace-Pale-Ale.jpg,Средний,"['ячмень', 'хмель']","['цитрусовые', 'легкое', 'освежающий', 'хмель']","['птица', 'рыба', 'курица', 'пицца', 'закуски', 'барбекю', 'картофель', 'острые/пряные блюда']",Ostrovica Ostrovica
Ostrovica-Stout,"['Чёрное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Стаут']","['Россия', 'Челябинск']",Ostrovica,Ostrovica,['Верховое брожение'],Средний,0.5,../data/images/Ostrovica-Stout.jpg,Средний,"['ячмень', 'хмель', 'пшеница', 'овёс']","['шоколад', 'кофе', 'плотный']","['мясо', 'закуски']",Ostrovica Ostrovica
Pivzavod-77-Mad-Jan,"['Светлое', 'Крафтовое']","['Лагер', 'Светлый Лагер']","['Россия', 'Москва']",K-Invest,Pivzavod 77,['Низовое брожение'],Средний,0.5,../data/images/Pivzavod-77-Mad-Jan.jpg,Дешевый,"['ячмень', 'хмель']","['солод', 'классический', 'горький', 'хмель']","['мясо', 'рыба', 'раки', 'закуски', 'колбасные изделия']",K-Invest Pivzavod 77
ReWort-Cuatro,"['Темное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Английский Эль', 'Молочный/Сладкий Стаут']","['Россия', 'Москва']",ReWort,Cuatro,['Верховое брожение'],Средний,0.5,../data/images/ReWort-Cuatro.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'кофе', 'богатый', 'насыщенный/интенсивный', 'приятный', 'сливочный', 'горьковатый']","['жареное мясо', 'сыры', 'барбекю', 'сыр Brie', 'мороженое', 'острые/пряные блюда', 'сыр Гауда']",ReWort Cuatro
ReWort-Martin-L-K,"['Янтарное', 'Крафтовое']","['Эль', 'Английский Эль', 'Английский Светлый Эль (ИПА)']","['Россия', 'Московская область']",ReWort,ReWort,['Верховое брожение'],Средний,0.5,../data/images/ReWort-Martin-L-K.jpg,Средний,"['ячмень', 'хмель']","['солод', 'мягкий', 'приятный', 'классический', 'горький', 'хмель']","['мясо', 'птица', 'рыба', 'пицца', 'закуски', 'шашлык', 'барбекю']",ReWort ReWort
ReWort-Cinco,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Лагер', 'Американский Лагер', 'Американский Светлый Лагер']","['Россия', 'Москва']",ReWort,Cinco,['Низовое брожение'],Средний,0.5,../data/images/ReWort-Cinco.jpg,Дешевый,"['ячмень', 'хмель']","['легкое', 'солод', 'приятный', 'горьковатый', 'хмель']","['птица', 'рыба', 'закуски', 'барбекю']",ReWort Cinco
ReWort-Uno,"['Очень тёмное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Портер']","['Россия', 'Москва']",ReWort,Уно,['Верховое брожение'],Средний,0.5,../data/images/ReWort-Uno.jpg,Средний,"['ячмень', 'хмель']","['кофе', 'мягкий', 'приятный', 'горьковатый']","['гриль', 'мясо на гриле', 'мясные закуски', 'снэки']",ReWort Уно
Chillin-z-Mr-Purple,"['Темное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Гозе']","['Россия', 'Челябинск']",Chillin'z,Mr. Purple,['Верховое брожение'],Средний,0.5,../data/images/Chillin-z-Mr-Purple.jpg,Средний,"['ячмень', 'хмель', 'фрукты']","['черника', 'легкое', 'приятный', 'освежающий', 'кислинка']","['аперитив', 'закуски', 'десерты', 'шоколад']",Chillin'z Mr. Purple
Double-Monkey-Episode-4-18,"['Чёрное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Английский Эль', 'Молочный/Сладкий Стаут']","['Россия', 'Московская область']",Крафтовая Пивоваренная Компания,Double Monkey,['Верховое брожение'],Средний,0.5,../data/images/Double-Monkey-Episode-4-18.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'кофе', 'солод', 'сладковатый']","['красное мясо', 'сыры', 'закуски', 'десерты', 'шоколад', 'мороженое']",Крафтовая Пивоваренная Компания Double Monkey
Maisel-s-Weisse-Kristall,"['Светлое', 'Фильтрованное']","['Эль', 'Кристально-чистое Пшеничное', 'Немецкий Эль']",['Германия'],Gebruder Maisel,Maisel's Weisse,['Верховое брожение'],Средний,0.5,../data/images/Maisel-s-Weisse-Kristall.jpg,Средний,"['пшеница', 'хмель', 'ячмень']","['травы', 'цитрусовые', 'банан', 'перец', 'легкое', 'гвоздика', 'сбалансированный', 'пшеничный', 'дрожжи']","['рыба', 'белое мясо', 'морепродукты/дары моря', 'сыры']",Gebruder Maisel Maisel's Weisse
Theakston-XB,"['Темное', 'Фильтрованное']","['Эль', 'Английский Эль', 'Экстра-специальный/Крепкий Биттер (ЭСБ)']",['Великобритания'],T & R Theakston,XB,['Верховое брожение'],Средний,0.5,../data/images/Theakston-XB.jpg,Средний,"['хмель', 'ячмень']","['фруктовый', 'минералы', 'ириска', 'лимон', 'кола', 'виноград', 'чай', 'долгий/продолжительный', 'зерновые', 'горький', 'хмель']","['мясо', 'дичь', 'рагу', 'жирные блюда', 'насыщенные блюда', 'острые/пряные блюда']",T & R Theakston XB
Palm-Hop-Select,"['Средне-янтарное', 'Фильтрованное']","['Эль', 'Бельгийский Крепкий Светлый Эль', 'Бельгийский/Французский Эль']",['Бельгия'],Palm,Hop Select,['Верховое брожение'],Средний,0.33,../data/images/Palm-Hop-Select.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'травы', 'сухой', 'легкое', 'чистый', 'зерновые', 'горьковатый', 'сдержанный', 'хмель']","['мясо', 'сыры', 'мясо на гриле']",Palm Hop Select
Mohnatyj-Shmel-Belyj-Ale-1000,"['Светлое', 'Нефильтрованное']","['Эль', 'Витбир', 'Бельгийский/Французский Эль']",['Россия'],Московская Пивоваренная Компания,Мохнатый Шмель,['Верховое брожение'],Средний,1.0,../data/images/Mohnatyj-Shmel-Belyj-Ale-1000.jpg,Дешевый,"['пшеница', 'ячмень', 'хмель', 'пряности', 'цедра']","['специи/пряности', 'пшеничный', 'освежающий', 'горьковатый', 'изысканный/элегантный', 'хмель']","['птица', 'рыба', 'морепродукты/дары моря', 'салат', 'закуски']",Московская Пивоваренная Компания Мохнатый Шмель
Knightberg-Renovaciya-Oatmeal-Stout,"['Очень тёмное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Английский Эль', 'Английский Стаут']","['Россия', 'Санкт-Петербург']",Knightberg,Knightberg,['Верховое брожение'],Средний,0.5,../data/images/Knightberg-Renovaciya-Oatmeal-Stout.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'орехи', 'кофе', 'солод', 'богатый', 'насыщенный/интенсивный', 'зерновые', 'горьковатый', 'сладковатый']","['сыры', 'закуски', 'десерты', 'стейк', 'барбекю', 'овощи гриль']",Knightberg Knightberg
BrewDog-Ace-of-Citra,"['Светлое', 'Крафтовое']","['Эль', 'Американский Эль', 'Американский Светлый Эль']",['Шотландия'],BrewDog,Ace of Citra,['Верховое брожение'],Средний,0.33,../data/images/BrewDog-Ace-of-Citra.jpg,Средний,"['хмель', 'ячмень']","['цитрусовые', 'карамель', 'солод', 'горьковатый']","['рыба', 'свинина', 'сыры', 'мясо на гриле', 'жареный цыпленок', 'снэки']",BrewDog Ace of Citra
BrewDog-Ace-of-Equinox,"['Светлое', 'Крафтовое']","['Эль', 'Американский Эль', 'Американский Светлый Эль']",['Шотландия'],BrewDog,Ace of Equinox,['Верховое брожение'],Средний,0.33,../data/images/BrewDog-Ace-of-Equinox.jpg,Средний,"['хмель', 'ячмень']","['цитрусовые', 'карамель', 'солод', 'горьковатый']","['рыба', 'свинина', 'сыры', 'мясо на гриле', 'жареный цыпленок', 'снэки']",BrewDog Ace of Equinox
Cerna-Hora-Kvasar,"['Средне-светлое', 'Медовое', 'Фильтрованное']",['Смешанный'],['Чехия'],Pivovary Lobkowicz Group,Cerna Hora,,Средний,0.5,../data/images/Cerna-Hora-Kvasar.jpg,Дешевый,"['ячмень', 'хмель', 'мед']","['мед', 'полный', 'сбалансированный', 'горьковатый', 'сладковатый']","['свинина', 'цыпленок', 'гриль', 'закуски', 'овощи', 'соус', 'мед']",Pivovary Lobkowicz Group Cerna Hora
Stamm-Beer-District-in-can,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Лагер', 'Европейский Лагер', 'Европейский Светлый Лагер']","['Россия', 'Москва']",CraftBeer,Stamm Beer,['Низовое брожение'],Средний,0.5,../data/images/Stamm-Beer-District-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['травы', 'цитрусовые', 'сухой', 'легкое', 'солод', 'освежающий', 'долгий/продолжительный', 'сладковатый', 'гладкий', 'хвоя', 'горький', 'хмель']","['мясо', 'рыба', 'аперитив', 'морепродукты/дары моря', 'дижестив', 'китайская кухня', 'японская кухня', 'тайская кухня']",CraftBeer Stamm Beer
De-Bie-Velo,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Трипль']","['Бельгия', 'Фландрия']",De Bie,Velo,['Верховое брожение'],Средний,0.33,../data/images/De-Bie-Velo.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'анис', 'солод', 'сбалансированный', 'горьковатый', 'кориандр', 'сладковатый', 'шалфей']","['мясо', 'птица', 'свинина', 'говядина', 'шашлык', 'мясо на гриле']",De Bie Velo
Konix-Brewery-Cranberry-Pearl,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Гозе']",['Россия'],Konix Brewery,Жемчужина,['Верховое брожение'],Средний,0.5,../data/images/Konix-Brewery-Cranberry-Pearl.jpg,Дешевый,"['ячмень', 'хмель', 'фрукты']","['свежий', 'соль', 'лайм', 'яркий', 'клюква']","['рыба', 'сыры', 'фрукты', 'соус', 'тартар']",Konix Brewery Жемчужина
De-Molen-Lentehop,['Средне-янтарное'],"['Эль', 'Американский Эль', 'Американский ИПА']",['Нидерланды'],De Molen,Lentehop,['Верховое брожение'],Средний,0.33,../data/images/De-Molen-Lentehop.jpg,Дорогой,"['ячмень', 'хмель']","['фруктовый', 'специи/пряности', 'цитрусовые', 'тропические фрукты', 'виноград', 'сухофрукты', 'изюм', 'округлый', 'солод', 'богатый', 'гармоничный', 'гладкий', 'хмель']","['рыба', 'белое мясо', 'аперитив', 'салат', 'сыры', 'закуски']",De Molen Lentehop
Ruddles-County-in-can,"['Коричневое', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Биттер']",['Англия'],Greene King,Ruddles,['Верховое брожение'],Средний,0.5,../data/images/Ruddles-County-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['фруктовый', 'орехи', 'карамель', 'солод', 'мягкий', 'сбалансированный', 'гладкий']","['мясо', 'салат', 'сыры', 'закуски', 'пирог', 'легкие блюда', 'запеканка']",Greene King Ruddles
Francis-Hartridge-s-Rose-Lemonade,['Светлое'],"['Смешанный', 'Фруктовое/Овощное']",['Великобритания'],Hartridges,Francis Hartridge's Celebrated,,Легкий,0.33,../data/images/Francis-Hartridge-s-Rose-Lemonade.jpg,Средний,,"['фруктовый', 'свежий']","['закуски', 'фрукты', 'легкие блюда', 'ягоды', 'all day drinks', 'коктейли', 'фруктовый десерт', 'ягодный десерт', 'фруктовые салаты', 'канапе']",Hartridges Francis Hartridge's Celebrated
1516-Weizen,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']","['Россия', 'Москва']",1516 Паб & Солодоварня,1516,['Верховое брожение'],Средний,0.5,../data/images/1516-Weizen.jpg,Дешевый,"['хмель', 'ячмень', 'пшеница']","['свежий', 'банан', 'сухой', 'гвоздика', 'приятный', 'кислинка']","['птица', 'рыба', 'морепродукты/дары моря', 'сыры', 'овощи', 'картофель', 'немецкая кухня']",1516 Паб & Солодоварня 1516
1516-Pilsner,"['Средне-светлое', 'Крафтовое', 'Фильтрованное']","['Немецкий Пилснер', 'Лагер', 'Немецкий Лагер']","['Россия', 'Москва']",1516 Паб & Солодоварня,1516,['Низовое брожение'],Средний,0.5,../data/images/1516-Pilsner.jpg,Средний,"['ячмень', 'хмель']","['травы', 'насыщенный/интенсивный', 'освежающий', 'долгий/продолжительный', 'хмель']","['свинина', 'гриль', 'закуски', 'овощи', 'колбасные изделия', 'картофель', 'немецкая кухня']",1516 Паб & Солодоварня 1516
Jaws-Brewery-Pale-Ale,"['Средне-янтарное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Английский Эль', 'Английский Светлый Эль']",['Россия'],Jaws Brewery,Jaws,['Верховое брожение'],Средний,0.5,../data/images/Jaws-Brewery-Pale-Ale.jpg,Средний,"['ячмень', 'хмель', 'пшеница']","['фруктовый', 'карамель', 'округлый', 'солод', 'мягкий', 'сбалансированный', 'горьковатый', 'хмель']","['рыба', 'морепродукты/дары моря', 'салат', 'пицца', 'сыры', 'закуски']",Jaws Brewery Jaws
